Company,Title,Description,Published Date
ADITYA BIRLA CAPITAL LTD.,"Stock Market Highlights: Sensex, Nifty settle lower on FII selling; Bajaj Auto plummets 13%; Hyundai IPO sails through","Sensex, Nifty, Share Prices LIVE: Indian equity benchmarks witnessed a sharp sell-off on Thursday, with the Sensex plunging nearly 500 points and Nifty falling below the 24,750 mark, primarily dragged down by auto stocks, following Bajaj Auto’s weak festival …",2024-10-17
ADITYA BIRLA CAPITAL LTD.,Volumes jump at Aditya Birla Sun Life AMC Ltd counter,"Aditya Birla Sun Life AMC Ltd witnessed volume of 68.07 lakh shares by 14:14 IST on NSE, a 23.71 times surge over two-week average daily volume of 2.87 lakh shares",2024-10-16
ADITYA BIRLA CAPITAL LTD.,Rallis India Ltd leads gainers in 'A' group,"Aditya Birla Sun Life AMC Ltd, Railtel Corporation of India Ltd, HDFC Asset Management Company Ltd and Sterling & Wilson Renewable Energy Ltd are among the other gainers in the BSE's 'A' group today, 16 October 2024.",2024-10-16
ADITYA BIRLA CAPITAL LTD.,Volumes spurt at Vedant Fashions Ltd counter,"Vedant Fashions Ltd registered volume of 4.72 lakh shares by 10:47 IST on BSE, a 39.26 fold spurt over two-week average daily volume of 12024 shares",2024-10-16
ADITYA BIRLA CAPITAL LTD.,"Stocks that will see action today: October 16, 2024","Buzzing stocks: Bajaj Auto, Tata Power, Lupin, ONGC, Adani Energy Solutions, Power Grid, Central Bank of India, Cochin Shipyard, Kernex Microsystems, KEI Industries, PNC Infratech GR Infraprojects, Capri Global, RailTel, Aditya Birla Money, Crisil, Himadri Sp…",2024-10-16
ADITYA BIRLA CAPITAL LTD.,"Share Market Highlights October 16, 2024: Stock markets close lower for second day amid foreign fund outflows","Sensex, Nifty updates on October 16, 2024: Benchmark Sensex declined by 318 points on Wednesday due to selling in IT and auto shares amid unabated foreign fund outflows and weak trends in global markets.
Falling for the second day, the BSE Sensex declined by …",2024-10-16
ADITYA BIRLA CAPITAL LTD.,Aditya Birla Housing Finance partners BharatPe to revolutionise secured lending,"Aditya Birla Housing Finance (ABHFL), a wholly-owned subsidiary of Aditya Birla Capital Ltd, has entered into a strategic partnership with BharatPe",2024-10-15
ADITYA BIRLA CAPITAL LTD.,Hyundai Motor India IPO Prospects Dim in Gray Market Trading,India’s unregulated gray market is indicating that the excitement around Hyundai Motor India Ltd.’s $3.3 billion initial public offering — poised to be the country’s biggest ever — is cooling.,2024-10-15
ADITYA BIRLA CAPITAL LTD.,"Stock Market Highlights: Sensex, Nifty settle marginally lower; Sensex closes 152 points down at 81,820","Sensex, Nifty, Share Prices: Indian stock markets ended lower on Tuesday, October 15, 2024, as concerns over global economic uncertainty and the ongoing West Asia conflict weighed on investor sentiment. The benchmark Sensex closed at 81,820.12, down 152.93 po…",2024-10-15
ADITYA BIRLA CAPITAL LTD.,"Stock market highlights: Sensex, Nifty rally to close firm; Sensex settles nearly 600 points higher at 81,973","Sensex, Nifty, Share Prices: The Indian stock markets closed higher on Monday, buoyed by strong performances in the IT and banking sectors. The benchmark BSE Sensex surged 591.69 points or 0.73 per cent to close at 81,973.05, while the broader NSE Nifty 50 in…",2024-10-14
